trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
212,False,"{'a': 0.99, 'e': 0.11995712819347787}",20,10,17.463511628917264,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.99, 'e': 0.11875755691154309}",30,21,20.225967876172415,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.99, 'e': 0.11756998134242766}",20,4,22.78484617715738,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.99, 'e': 0.11639428152900338}",20,16,7.705765455673173,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.99, 'e': 0.11523033871371334}",25,13,22.012633964665152,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.99, 'e': 0.11407803532657622}",20,15,9.28253420672252,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.99, 'e': 0.11293725497331045}",20,14,12.12149906429725,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.99, 'e': 0.11180788242357734}",20,2,27.192953393977106,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.99, 'e': 0.11068980359934157}",20,8,23.350307060871828,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.99, 'e': 0.10958290556334815}",20,15,9.83636970075347,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.99, 'e': 0.10848707650771466}",30,18,23.236211920671565,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.99, 'e': 0.10740220574263752}",20,3,29.088435273703723,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.99, 'e': 0.10632818368521114}",25,10,30.090185965507327,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.99, 'e': 0.10526490184835903}",20,12,13.937353923617161,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.99, 'e': 0.10421225282987544}",25,11,29.90768616879858,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.99, 'e': 0.10317013030157668}",20,12,15.403973589090779,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.99, 'e': 0.10213842899856092}",25,11,26.02695419504795,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.99, 'e': 0.10111704470857531}",30,16,24.010620124372586,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.99, 'e': 0.10010587426148955}",25,11,27.566011485040864,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
